STT,Tên loài (Thư mục),Số lượng ảnh
1,Berenicornis_comatus,641
2,Rusa_unicolor,555
3,Lophura_diardi,540
4,Pitta_nympha,540
5,Actias_selene,536
6,Egretta_eulophotes,490
7,Prionailurus_bengalensis,474
8,Indotestudo_elongata,473
9,Panthera_tigris,468
10,Pavo_muticus,445
11,Anas_platyrhynchos_domesticus,436
12,Polyplectron_bicalcaratum,412
13,Platalea_minor,409
14,Python_bivittatus,396
15,Helarctos_malayanus,379
16,Platysternon_megacephalum,353
17,Elephas_maximus,352
18,Ratufa_bicolor,347
19,Pygathrix_nemaeus,346
20,Macaca_arctoides,339
21,Anthracoceros_albirostris,336
22,Loriculus_vernalis,326
23,Lethocerus_indicus,322
24,Troides_helena,321
25,Felis_catus,315
26,Varanus_salvator,314
27,Charonia_tritonis,309
28,Copsychus_malabaricus,307
29,Physignathus_cocincinus,303
30,Pelecanus_philippensis,303
31,Gekko_gecko,301
32,Spilornis_cheela,291
33,Melopsittacus_undulatus,286
34,Ketupa_zeylonensis,283
35,Grus_antigone,283
36,Birgus_latro,281
37,Cuon_alpinus,280
38,Pteropus_vampyrus,278
39,Psittacula_alexandri,272
40,Leptoptilos_javanicus,267
41,Manis_javanica,267
42,Nomascus_leucogenys,262
43,Chelonia_mydas,257
44,Buceros_bicornis,252
45,Cervus_nippon,252
46,Canis_familiaris,251
47,Ophiophagus_hannah,246
48,Tyto_alba,245
49,Panulirus_ornatus,243
50,Dorcus_curvidens,243
51,Harpactes_erythrocephalus,241
52,Arctictis_binturong,240
53,Gallus_gallus_domesticus,240
54,Ahaetulla_prasina,239
55,Ciconia_episcopus,239
56,Eretmochelys_imbricata,237
57,Petaurista_philippensis,231
58,Ptyas_mucosa,220
59,Oryctolagus_cuniculus,219
60,Neofelis_nebulosa,211
61,Ursus_thibetanus,209
62,Aquila_nipalensis,207
63,Sus_domesticus,207
64,Bos_gaurus,204
65,Eutropis_multifasciata,203
66,Meleagris_gallopavo,200
67,Bos_taurus,199
68,Dermochelys_coriacea,195
69,Crocodylus_siamensis,191
70,Dugong_dugon,188
71,Ovis_aries,188
72,Kaloula_pulchra,182
73,Equus_caballus,177
74,Amolops,174
75,Tachypleus_tridentatus,173
76,Falco_peregrinus,170
77,Bubalus_bubalis,162
78,Lutra_lutra,161
79,Hylarana,151
80,Eurylaimus_javanicus,146
81,Shinisaurus_crocodilurus,133
82,Capra_hircus,129
83,Gracula_religiosa,115
84,Hystrix_brachyura,114
85,Theloderma_corticale,109
86,Columba_punicea,69
87,Otis_bengalensis,66
88,Palea_steindachneri,61
89,Cuora_galbinifrons,57
90,Gekko_badenii,51
91,Capricornis_milneedwardsii,50
92,Nycticebus_pygmaeus,50
93,Teinopalpus_aureus,49
94,Garrulax_yersini,47
95,Catopuma_temminckii,34
96,Prionodon_pardicolor,32
97,Garrulax_milleti,30
98,Pelochelys_cantorii,20
99,Paramesotriton_deloustali,18
100,Rheinardia_ocellata,11
101,Chrotogale_owstoni,10
102,Rhinopithecus_avunculus,9
103,Arborophila_davidi,3
